stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
HOU2BDF2,HOUBD2,Bois du Fresnoy,173 Chaussee Brunehaut 62150 Houdain,50.44863783153952,2.5276842535233537,,,0,
FOU2CDES,FOUCDE,Desmoulins,45 Rue Camille Desmoulins 62740 Fouquières-lès-Lens,50.43034113260397,2.90826995566035,,,0,
HEN2LPER,HENLPE,La Perche,362 Rue Pasteur 62110 Hénin-Beaumont,50.41593560248418,2.9465699958837304,,,0,
OIG1CICH,OIGCIC,Chapelle,19 Rue de la Victoire 62590 Oignies,50.46875004315962,3.013227273783403,,,0,
HIN1HING,HINHI1,Rue d'Hingette,345 Rue d’Hingette 62232 Hinges,50.56402594685768,2.637782904096351,,,0,
DOU2COMM,DOUCOM,Jaurès,16 Rue Jean Jaurès 62119 Dourges,50.43401977457737,2.986138308236052,,,0,
AUC2BH03,BH03AU,Sévigné,6 Boulevard Emile Basly 62260 Auchel,50.5073040980536,2.4659224029782605,,,0,
NOL2JCUR,NOLJCU,Germinal,94 Rue Casimir Beugnet 62430 Sallaumines,50.41978248573004,2.882056041144704,,,0,
DOU1BOUR,DOUBOU,Bourcheuil,39 Rue Louis Leblond 62119 Dourges,50.43158440677123,2.971371035838088,,,0,
CAR2EPIN,CAREPI,Epinoy,137 Rue Florent Evrard 62220 Carvin,50.484757600408095,2.9440734050776047,,,0,
BEU1HOPI,BEUHOD,Hôpital - Quai 3,22 Ruelle Marguerite Yourcenar 62660 Beuvry,50.51644344300472,2.669058589423246,,,0,
HEN1BH02,BH02HB,Sainte-Henriette,89 Avenue Nestor Calonne 62110 Hénin-Beaumont,50.42143053615179,2.9654845200286606,,,0,
HEN1BH03,BH03H1,Jules Verne,9 Cite des Croix 62110 Hénin-Beaumont,50.4197725341214,2.972092616980162,,,0,
BET1GAUT,BET1GA,Gauthier,204 Rue de Lille 62400 Béthune,50.527378760712296,2.6451630280672704,,,0,
ROU2GEND,ROUGEN,Gendarmerie,204 Rue du Général de Gaulle 62320 Rouvroy,50.39686906166467,2.903172869469539,,,0,
LOI2BECQ,LOIBEC,Mairie,106 Rue Léon Blum 62218 Loison-sous-Lens,50.43803157899295,2.8658868574083107,,,0,
LAP1PNEU,LAPPNE,Pont Neuf,2 Rue Jules Ferry 62122 Lapugnoy,50.52576149520753,2.558488579406996,,,0,
VEB2RDLC,VEBRDL,Creuse,68 Rue Pierre Mendes France 62232 Vendin-lès-Béthune,50.540260453458,2.607303154674617,,,0,
BRU1REPU,BRURE1,République,324 Rue de la République 62700 Bruay-la-Buissière,50.47932836795805,2.5406660531429024,,,0,
BUL1SSMI,BULMAI,Mairie,67 Rue Jean Jaurès 62160 Bully-les-Mines,50.44133393295476,2.720420166511621,,,0,
HIN2LBOU,HINLBO,Rue du Boulan,951 Rue des Fusillés 62232 Hinges,50.56656292678739,2.634812118892327,,,0,
LEN1ECPB,LENEC1,Vivien Foe,90 Rue Paul Bert 62300 Lens,50.43056687605878,2.8130055724025995,,,0,
HEN2R2VI,HENR2V,Deux Villes,Boulevard Jean Moulin 62110 Hénin-Beaumont,50.422977459292014,2.939646984305286,,,0,
OIG2CITE,OIGCIT,Cité des Têtes,24 Rue Emile Basly 62590 Oignies,50.46946638660823,3.008569629077261,,,0,
ANZ2NMON,ANZNMO,Nouveau Monde,45a Rue des Martyrs 62232 Annezin,50.52849434360931,2.617513944888009,,,0,
MAR2ANVE,MARANV,Anvers,30 Rue de Namur 62540 Marles-les-Mines,50.509370239047286,2.508021633387208,,,0,
BEU1RDLI,BEURD1,Route de Lille,154 Route de Lille 62660 Beuvry,50.51583068504376,2.6830971359626674,,,0,
NOG2NDLO,NOGNDL,Lourdes,83 Rue Pasteur 62950 Noyelles-Godault,50.42570910885743,2.994950016769868,,,0,
AVI2SALI,AVISAL,Salingue,7 Rue du Bonnier 62210 Avion,50.41542893719576,2.8468737320549464,,,0,
SOU1VOLT,SOUVO1,Voltaire,14 Rue Jean Jaurés 62153 Souchez,50.39388364847219,2.7436538971440125,,,0,
SAI2CCOM,SAICCO,Centre Commercial,58 Avenue François Mitterrand 62114 Sains-en-Gohelle,50.45947938340923,2.6796447407638646,,,0,
SAL1DOLE,SALDOL,Etienne Dolet,Salle Louis Pergaud 62430 Sallaumines,50.42982653310838,2.854183744701393,,,0,
LEF2LCAR,LEFLCA,Lazare Carnot,37 Rue Lazare Carnot 62790 Leforest,50.431916044305744,3.060886654000152,,,0,
MER2FOS4,MERDRO,Droits des Enfants,22 Avenue du 10 Mars 62680 Méricourt,50.40490583922526,2.875871589483139,,,0,
AUM2GASE,AUMGAS,Sainte Elisabeth,120 Route Nationale 62138 Auchy-les-Mines,50.51976078707192,2.7908305879600674,,,0,
LEN2CIMN,LENCIN,Cimetière Nord,90 Rue Pierre Brossolette 62300 Lens,50.447049634197896,2.8129229378999137,,,0,
LEN2LYO2,LENPIC,Picardie,1 Rue du Lyonnais 62300 Lens,50.44031819033736,2.796954894964717,,,0,
NOE2CDNO,NOECDN,Rue de Bully,191 Rue Nationale 62290 Nœux-les-Mines,50.47827124241185,2.6648270234352567,,,0,
HIN1RDME,HINCHE,Chemin des Anglais,1112 Rue de Merville 62232 Hinges,50.58712763036584,2.629453094760729,,,0,
HAS18MAI,HAS8MA,Rue du 08 Mai 45,1 Rue du 8 Mai 62138 Haisnes,50.50811413178396,2.798505178649209,,,0,
OIG1DECL,OIGDE1,Pantigny,16 Rue Fernand Pantigny 62590 Oignies,50.46515075333323,2.9918966244787164,,,0,
ANZ1CALV,ANZCA1,Morinie,807 Avenue de la Morinie 62232 Annezin,50.5404339925578,2.6140050329127424,,,0,
